orderno|quantity|sCOrderID|productID
1|1|1|27
2|3|2|32
3|5|3|24
4|5|3|30
5|1|3|25
6|5|4|26
7|10|4|20
8|7|5|20
9|5|5|27
10|10|5|31
11|4|6|30
12|6|6|28
13|10|7|27
14|8|7|30
15|7|7|27
16|2|8|21
17|3|8|33
18|10|8|18
19|5|9|33
20|8|9|19
21|9|9|30
22|9|10|26
23|10|10|30
24|9|11|22
25|3|12|28
26|6|12|20
27|8|12|21
28|9|13|32
29|8|13|17
30|2|13|26
31|9|14|31
32|10|14|26
33|3|15|17
34|6|16|27
35|2|17|18
36|6|17|28
37|10|18|18
38|7|18|22
39|3|19|20
40|9|20|27
41|9|20|17
42|2|20|25
43|8|21|25
44|6|22|29
45|4|23|25
46|9|23|24
47|10|24|21
48|7|24|33
49|2|24|31
50|10|25|20
51|9|25|33
52|3|26|32
53|7|27|31
54|10|27|29
55|5|27|22
56|10|28|30
57|5|28|17
58|10|28|23
59|7|29|17
60|9|29|24
61|5|30|23
62|4|30|24
63|1|30|27
64|5|31|22
65|10|31|24
66|5|32|32
67|10|32|19
68|5|33|26
69|6|33|19
70|9|34|31
71|9|34|32
72|6|35|27
73|2|36|31
74|9|36|17
75|8|36|20
76|8|37|26
77|1|38|21
78|9|38|19
79|10|38|22
80|7|39|20
81|9|39|25
82|3|39|27
83|6|40|24
84|6|40|23
85|2|40|30
86|5|41|28
87|5|41|28
88|9|42|18
89|7|42|19
90|3|42|28
91|7|43|25
92|6|43|26
93|1|43|22
94|8|44|23
95|4|44|29
96|5|44|33
97|5|45|18
98|10|46|32
99|7|47|26
100|8|47|23
101|1|47|17
102|1|48|32
103|5|48|28
104|6|49|31
105|8|49|27
106|5|49|22
107|2|50|31
108|1|51|29
109|8|51|23
110|10|52|22
111|6|52|25
112|5|52|27
113|2|53|32
114|6|54|32
115|10|54|18
116|8|54|29
117|2|55|31
118|5|56|26
119|9|56|29
120|2|57|18
121|5|58|25
122|7|58|33
123|10|59|22
124|9|59|22
125|6|60|32
126|5|61|25
127|10|61|22
128|3|62|26
129|5|63|23
130|3|63|21
131|6|64|23
132|3|64|32
133|2|65|31
134|4|66|21
135|7|67|20
136|4|67|18
137|6|67|18
138|5|68|30
139|1|68|25
140|4|68|22
141|3|69|33
142|5|69|18
143|7|70|28
144|4|71|20
145|7|72|20
146|4|73|17
147|2|73|27
148|9|73|26
149|3|74|20
150|10|75|27
151|6|75|21
152|10|75|32
153|3|76|28
154|3|76|25
155|3|77|26
156|3|78|32
157|10|79|18
158|10|79|18
159|6|80|27
160|1|81|22
161|4|82|23
162|7|83|19
163|3|83|33
164|9|84|20
165|1|84|21
166|3|84|24
167|1|85|19
168|2|85|18
169|3|85|31
170|3|86|23
171|3|87|32
172|9|87|23
173|6|87|24
174|5|88|28
175|1|88|18
176|1|89|20
177|7|90|25
178|2|90|27
179|7|91|33
180|7|92|31
181|5|92|20
182|6|92|24
183|4|93|17
184|5|93|29
185|1|93|29
186|7|94|17
187|3|94|25
188|2|94|27
189|8|95|33
190|7|96|26
191|3|96|26
192|3|97|32
193|3|97|22
194|1|98|33
195|10|98|18
196|4|99|28
197|8|99|27
198|1|99|20
199|2|100|28
200|6|100|25
201|7|100|31
202|3|101|33
203|3|101|20
204|1|101|21
205|2|102|26
206|5|102|21
207|4|102|24
208|4|103|30
209|8|104|28
210|5|105|18
211|6|105|24
212|6|106|21
213|1|106|24
214|6|106|20
215|2|107|18
216|1|108|22
217|10|108|22
218|8|108|17
219|5|109|20
220|2|109|21
221|1|109|18
222|10|110|22
223|8|110|19
224|5|110|25
225|4|111|33
226|2|111|25
227|3|112|27
228|4|112|28
229|3|113|22
230|5|114|30
231|10|115|20
232|6|115|25
233|2|116|21
234|1|116|24
235|1|117|29
236|7|118|22
237|4|119|23
238|9|119|17
239|4|120|30
240|7|120|31
241|4|121|30
242|5|121|22
243|7|121|25
244|6|122|33
245|7|122|24
246|10|122|30
247|3|123|27
248|8|124|25
249|2|124|27
250|6|124|22
251|2|125|32
252|2|125|33
253|3|125|27
254|9|126|30
255|8|127|31
256|1|127|17
257|6|128|23
258|7|128|32
259|1|129|20
260|9|129|20
261|3|129|26
262|10|130|17
263|7|130|26
264|9|130|20
265|2|131|23
266|4|131|33
267|2|132|27
268|3|133|31
269|3|133|22
270|3|134|33
271|8|134|27
272|7|135|25
273|9|135|33
274|5|135|31
275|4|136|20
276|3|136|22
277|4|137|31
278|5|138|17
279|10|138|23
280|1|139|19
281|3|139|20
282|4|140|29
283|3|141|24
284|4|141|27
285|6|141|27
286|7|142|28
287|3|143|24
288|8|144|28
289|2|145|26
290|4|145|29
291|2|146|31
292|2|146|28
293|9|147|21
294|5|148|22
295|3|148|33
296|7|149|31
297|7|149|33
298|9|149|26
299|8|150|19
300|5|150|17
301|1|151|31
302|6|152|25
303|2|152|25
304|8|153|26
305|7|154|17
306|3|155|18
307|2|155|26
308|9|155|25
309|4|156|33
310|2|156|32
311|1|157|29
312|8|158|29
313|3|159|17
314|9|160|32
315|2|160|24
316|5|161|20
317|5|161|26
318|2|161|32
319|4|162|17
320|6|162|24
321|6|163|32
322|6|163|29
323|7|163|26
324|2|164|24
325|10|165|19
326|7|165|26
327|1|166|27
328|7|167|31
329|1|167|23
330|3|168|31
331|8|169|26
332|6|169|27
333|5|169|17
334|6|170|26
335|6|171|22
336|8|171|32
337|1|171|31
338|9|172|33
339|8|173|18
340|7|173|21
341|2|173|28
342|6|174|26
343|2|174|18
344|8|174|31
345|7|175|21
346|10|175|21
347|7|175|33
348|3|176|29
349|3|176|22
350|8|177|33
351|6|177|32
352|2|177|26
353|8|178|32
354|7|179|28
355|2|179|20
356|8|179|33
357|10|180|18
358|6|180|20
359|5|180|27
360|1|181|33
361|7|182|33
362|9|182|17
363|6|182|25
364|3|183|20
365|4|183|31
366|3|183|30
367|6|184|30
368|10|185|17
369|4|186|18
370|3|187|20
371|1|187|23
372|10|188|32
373|10|188|26
374|4|188|25
375|6|189|19
376|4|190|21
377|2|191|19
378|3|191|20
379|3|192|21
380|2|193|30
381|2|193|26
382|6|193|31
383|10|194|19
384|6|194|19
385|9|194|25
386|3|195|24
387|7|195|31
388|1|195|23
389|1|196|30
390|7|196|19
391|7|197|20
392|10|197|19
393|8|197|27
394|7|198|23
395|6|198|25
396|8|198|29
397|4|199|17
398|4|200|17
399|6|200|24
400|7|201|24
401|8|202|25
402|7|202|25
403|1|203|28
404|1|203|22
405|7|203|28
406|6|204|31
407|10|204|24
408|5|204|30
409|5|205|31
410|7|205|32
411|2|205|22
412|9|206|24
413|10|206|29
414|8|207|32
415|8|207|25
416|6|207|24
417|7|208|20
418|3|209|22
419|6|209|29
420|9|209|19
421|7|210|25
422|5|210|23
423|8|210|32
424|1|211|32
425|8|211|27
426|10|212|21
427|8|212|20
428|9|212|25
429|4|213|18
430|8|214|25
431|4|214|30
432|8|214|24
433|1|215|29
434|2|215|19
435|10|215|30
436|8|216|29
437|3|216|20
438|2|217|20
439|4|217|18
440|3|218|32
441|4|219|19
442|4|219|26
443|8|220|28
444|6|221|19
445|8|221|30
446|4|221|30
447|2|222|23
448|6|222|18
449|1|223|21
450|3|224|30
451|9|224|28
452|4|224|17
453|2|225|23
454|2|225|30
455|7|225|24
456|8|226|17
457|5|226|21
458|2|226|17
459|8|227|31
460|4|228|19
461|5|228|29
462|1|229|25
463|8|229|21
464|10|230|30
465|6|230|21
466|9|230|28
467|3|231|27
468|4|232|33
469|5|232|18
470|4|233|32
471|7|233|29
472|2|233|32
473|1|234|28
474|3|235|30
475|10|235|23
476|10|236|30
477|4|237|26
478|7|237|27
479|7|237|31
480|9|238|28
481|3|238|31
482|7|238|17
483|4|239|28
484|10|239|29
485|5|239|33
486|10|240|30
487|6|240|27
488|5|240|19
489|9|241|20
490|7|242|26
491|7|243|27
492|5|243|32
493|7|244|26
494|7|245|21
495|5|245|27
496|3|245|18
497|8|246|33
498|4|247|18
499|1|247|29
500|8|248|18
501|8|249|29
502|6|250|26
503|3|250|31
504|6|250|18
505|6|251|32
506|5|252|25
507|6|253|32
508|9|253|27
509|3|253|25
510|10|254|33
511|4|254|23
512|10|254|33
513|1|255|19
514|2|256|22
515|4|256|28
516|10|256|22
517|3|257|29
518|1|258|21
519|8|258|19
520|10|259|17
521|3|260|17
522|7|260|32
523|10|260|22
524|10|261|20
525|4|261|21
526|3|261|25
527|7|262|21
528|3|263|28
529|2|263|17
530|5|263|19
531|8|264|20
532|6|265|17
533|8|265|33
534|6|265|20
535|5|266|22
536|4|267|25
537|3|268|18
538|6|269|18
539|1|269|31
540|10|269|29
541|4|270|25
542|4|271|17
543|1|271|21
544|6|272|21
545|9|273|18
546|7|273|24
547|7|274|25
548|8|274|18
549|1|274|27
550|10|275|32
551|7|276|24
552|3|277|19
553|9|277|19
554|6|277|28
555|9|278|30
556|3|278|31
557|6|279|17
558|3|279|26
559|1|280|17
560|4|280|17
561|7|280|27
562|10|281|27
563|10|281|22
564|7|282|23
565|2|283|29
566|2|284|18
567|2|284|29
568|5|284|24
569|10|285|23
570|6|286|27
571|6|287|27
572|7|287|32
573|7|287|25
574|1|288|19
575|5|289|31
576|4|289|20
577|7|289|32
578|3|290|32
579|10|291|28
580|1|292|22
581|9|292|30
582|3|293|32
583|3|293|20
584|3|294|30
585|9|294|21
586|3|294|32
587|1|295|33
588|8|295|26
589|6|295|31
590|6|296|33
591|7|297|19
592|5|297|20
593|6|297|29
594|3|298|17
595|3|299|21
596|2|299|24
597|1|300|23
598|5|301|22
599|2|301|19
600|2|302|27
601|2|302|32
602|1|302|28
603|5|303|30
604|3|303|28
605|8|303|20
606|3|304|21
607|7|304|17
608|8|304|21
609|5|305|24
610|3|305|18
611|2|305|27
612|5|306|31
613|7|307|18
614|2|307|29
615|4|307|17
616|5|308|19
617|3|308|25
618|10|308|30
619|2|309|24
620|3|309|20
621|2|309|29
622|2|310|32
623|3|311|28
624|5|311|20
625|9|312|26
626|5|313|27
627|1|313|18
628|9|313|31
629|9|314|19
630|3|314|25
631|5|315|21
632|4|315|33
633|3|316|18
634|3|317|24
635|6|317|19
636|2|318|33
637|7|318|28
638|8|318|31
639|4|319|27
640|6|319|31
641|9|320|20
642|4|321|24
643|2|322|21
644|3|323|32
645|2|324|33
646|1|325|30
647|10|326|32
648|5|326|27
649|3|326|32
650|7|327|31
651|8|328|20
652|2|328|32
653|9|328|33
654|8|329|17
655|1|330|19
656|6|331|32
657|5|331|27
658|7|331|28
659|3|332|20
660|7|332|23
661|3|332|29
662|7|333|30
663|8|334|31
664|3|334|26
665|1|334|24
666|1|335|21
667|1|336|27
668|3|336|26
669|10|336|27
670|5|337|25
671|8|337|21
672|10|338|22
673|8|338|22
674|10|339|19
675|6|340|33
676|3|340|21
677|1|341|33
678|3|341|21
679|3|341|24
680|2|342|29
681|7|342|26
682|10|343|25
683|1|344|18
684|2|345|21
685|6|345|26
686|10|346|30
687|4|346|31
688|10|346|32
689|5|347|33
